交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,60,C2061,880,915,北京南,天津
1,59,C2060,931,966,天津,北京南
1,156,C2589,979,1014,北京南,天津
1,157,C2590,1038,1073,天津,北京南
2,83,C2088+,1219,1254,天津,北京南
2,92,C2097,1267,1302,北京南,天津
2,97,C2102,1323,1358,天津,北京南
2,101,C2107,1385,1420,北京南,天津
3,73,C2078,1124,1159,天津,北京南
3,86,C2091,1182,1217,北京南,天津
3,85,C2090,1231,1266,天津,北京南
3,94,C2099,1286,1321,北京南,天津
4,6,C2001,361,396,北京南,天津
4,163,C2614,412,447,天津,北京南
4,19,C2015,466,501,北京南,天津
4,18,C2014,518,553,天津,北京南
5,149,C2581,443,478,北京南,天津
5,14,C2010+,491,526,天津,北京南
5,25,C2023,543,578,北京南,天津
5,24,C2022,602,637,天津,北京南
6,75,C2080,1157,1192,天津,北京南
6,90,C2095,1208,1243,北京南,天津
6,89,C2094,1263,1298,天津,北京南
6,98,C2103,1338,1373,北京南,天津
7,145,C2244,1195,1236,天津,北京南
7,146,C2245,1256,1297,北京南,天津
7,95,C2100,1313,1348,天津,北京南
7,99,C2105,1363,1398,北京南,天津
8,66,C2067,932,967,北京南,天津
8,61,C2062,983,1018,天津,北京南
8,74,C2079,1043,1078,北京南,天津
8,72,C2076,1095,1130,天津,北京南
9,31,C2029,565,600,北京南,天津
9,117,C2216,614,655,天津,北京南
9,42,C2041,672,707,北京南,天津
9,39,C2038,733,768,天津,北京南
10,10,C2005,387,422,北京南,天津
10,11,C2006,435,470,天津,北京南
10,107,C2205,488,529,北京南,天津
10,20,C2016,547,582,天津,北京南
11,12,C2008,482,517,天津,北京南
11,109,C2207,532,573,北京南,天津
11,22,C2018,591,626,天津,北京南
11,40,C2039,648,683,北京南,天津
12,129,C2228,893,934,天津,北京南
12,128,C2227,950,991,北京南,天津
12,63,C2064,1005,1040,天津,北京南
12,76,C2081,1065,1100,北京南,天津
13,151,C2584,563,598,天津,北京南
13,113,C2211,616,657,北京南,天津
13,32,C2030,674,709,天津,北京南
13,116,C2215,726,767,北京南,天津
14,53,C2053,770,805,北京南,天津
14,49,C2048,818,853,天津,北京南
14,60,C2061,880,915,北京南,天津
14,59,C2060,931,966,天津,北京南
15,37,C2035,608,643,北京南,天津
15,30,C2028,665,700,天津,北京南
15,50,C2049,714,749,北京南,天津
15,45,C2044+,782,817,天津,北京南
16,126,C2225,912,953,北京南,天津
16,133,C2232,969,1010,天津,北京南
16,132,C2231,1029,1070,北京南,天津
16,162,C2598,1090,1125,天津,北京南
17,150,C2583,524,559,北京南,天津
17,115,C2214,577,618,天津,北京南
17,38,C2037,640,675,北京南,天津
17,36,C2034,715,750,天津,北京南
18,13,C2009+,411,446,北京南,天津
18,110,C2208,464,505,天津,北京南
18,150,C2583,524,559,北京南,天津
18,22,C2018,591,626,天津,北京南
19,103,C2201,392,433,北京南,天津
19,108,C2206,448,489,天津,北京南
19,23,C2019,507,542,北京南,天津
19,151,C2584,563,598,天津,北京南
20,127,C2226,869,910,天津,北京南
20,66,C2067,932,967,北京南,天津
20,135,C2234,993,1034,天津,北京南
20,134,C2233,1051,1092,北京南,天津
21,7,C2002,365,400,天津,北京南
21,15,C2011,423,458,北京南,天津
21,12,C2008,482,517,天津,北京南
21,27,C2025,548,583,北京南,天津
22,88,C2093,1194,1229,北京南,天津
22,87,C2092,1254,1289,天津,北京南
22,96,C2101,1310,1345,北京南,天津
22,102,C2108,1372,1407,天津,北京南
23,152,C2585,627,662,北京南,天津
23,34,C2032,695,730,天津,北京南
23,52,C2051,743,778,北京南,天津
23,47,C2046,795,830,天津,北京南
24,138,C2237,1108,1149,北京南,天津
24,77,C2082,1170,1205,天津,北京南
24,144,C2243,1234,1275,北京南,天津
24,93,C2098,1299,1334,天津,北京南
25,8,C2003,374,409,北京南,天津
25,11,C2006,435,470,天津,北京南
25,107,C2205,488,529,北京南,天津
25,20,C2016,547,582,天津,北京南
26,58,C2059+,858,893,北京南,天津
26,155,C2588,925,960,天津,北京南
26,70,C2073,992,1027,北京南,天津
26,68,C2070,1061,1096,天津,北京南
27,143,C2242,1139,1180,天津,北京南
27,142,C2241,1215,1256,北京南,天津
27,147,C2246,1271,1312,天津,北京南
27,98,C2103,1338,1373,北京南,天津
28,161,C2597,1009,1044,北京南,天津
28,69,C2072+,1081,1116,天津,北京南
28,84,C2089+,1146,1181,北京南,天津
28,81,C2086,1209,1244,天津,北京南
29,124,C2223,842,883,北京南,天津
29,57,C2058+,917,952,天津,北京南
29,70,C2073,992,1027,北京南,天津
29,137,C2236,1043,1084,天津,北京南
30,140,C2239,1166,1207,北京南,天津
30,85,C2090,1231,1266,天津,北京南
30,94,C2099,1286,1321,北京南,天津
30,100,C2106,1353,1388,天津,北京南
31,112,C2210,531,572,天津,北京南
31,111,C2209,585,626,北京南,天津
31,119,C2218,647,688,天津,北京南
31,48,C2047,702,737,北京南,天津
32,105,C2203,451,492,北京南,天津
32,18,C2014,518,553,天津,北京南
32,33,C2031,577,612,北京南,天津
32,26,C2024+,629,664,天津,北京南
33,80,C2085,1120,1155,北京南,天津
33,79,C2084,1178,1213,天津,北京南
33,158,C2593,1226,1261,北京南,天津
33,91,C2096,1287,1322,天津,北京南
34,43,C2042,756,791,天津,北京南
34,122,C2221,820,861,北京南,天津
